season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2020,1,ARI,REG,2020_01_ARI_SF,SF,26,40,230,1,1,2,-6,0,0,192,133,12,-3.16413580890882,-2.22940871844421,0,10,2,1,0,36,180,2,1,0,13,9.08103456601384,0,7,4,3,0,26,37,230,1,1,0,192,133,12,1.00409781902353,0,10,2,1,0,0,39,2,20,4,22,0,3,16,6,0,0,4,0,0,0,1,0,0,0,0,5,2,0,0,0,0,9,102,5,2,0,0,2,0,2,8,1,42,1,3,2,0,56,0.333333333333333,0,0,0,0,1,0,0,0,0,1,1,0,56,52;49,,56,101,0,3,3,0,0,1,0,0,0,0,0,4,0,53,191,1,0,1,0,0,3,29,0,162
2020,1,ATL,REG,2020_01_SEA_ATL,SEA,37,54,450,2,1,2,-16,0,0,524,106,23,6.09383628150787,4.67627398096598,0,23,11,5,1,21,72,1,1,1,4,-7.00506400888219,0,3,1,0,0,37,52,450,2,0,0,524,106,23,16.7300366442661,0,23,11,5,1,0,37,1,27,4,22,0,3,23,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,72,6,1,0,0,1,1,1,8,0,0,2,2,0,0,49,1,0,0,0,2,0,0,0,0,0,0,0,0,49;49,,,98,0,0,1,2,1,0,0.5,0,0,0,0,0,2,0,55,100,0,0,0,0,1,1,15,0,85
2020,1,BAL,REG,2020_01_CLE_BAL,CLE,21,26,284,3,0,2,-14,0,0,257,77,16,13.7606244222439,21.3830481767654,0,13,8,5,1,30,111,2,2,1,7,-2.12635431240778,0,4,4,0,0,21,25,284,3,0,0,257,77,16,18.7972734699724,0,13,8,5,1,0,35,3,25,3,23,3,2,21,6,1,8,8,0,0,0,0,0,0,0,0,0,1,0,2,3,0,7,66,3,1,1,0,2,1,2,26,2,64,1,1,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,5,5,0,0,1,0,0,0,0,0,3,0,49,125,2,1,1,0,0,1,1,0,124
2020,1,BUF,REG,2020_01_NYJ_BUF,NYJ,33,46,312,2,0,3,-6,0,0,279,137,17,13.8010084652079,6.88211434417301,0,15,5,3,0,32,98,1,2,2,8,-13.1249303315888,0,3,3,0,0,33,45,312,2,0,0,279,137,17,17.9748399993127,0,15,5,3,0,0,30,4,14,5,19,1,3,13,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,79,4,2,0,0,2,2,5,68,1,31,2,4,2,0,22,0.5,1,1,0,0,0,0,0,0,2,0,0,0,22;19,38;34,,41,72,0,3,3,0,0,1,0,0,0,0,0,1,0,53,53,0,0,0,0,1,0,0,0,53
2020,1,CAR,REG,2020_01_LV_CAR,LV,22,34,269,1,0,1,-10,0,0,279,137,13,6.3769420746635,0.54569472284878,1,12,6,1,1,30,129,2,0,0,8,1.63804445901149,0,3,3,0,0,22,34,269,1,0,0,279,137,13,8.32567343655184,1,12,6,1,1,0,37,0,28,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,65,6,0,0,0,0,0,2,29,4,109,3,3,0,0,47,1,0,0,1,2,0,0,0,0,0,0,0,0,47;46;31,,,124,0,0,1,2,1,0,0.5,0,0,0,0,0,2,0,60,120,0,0,0,0,0,2,37,0,83
2020,1,CHI,REG,2020_01_CHI_DET,DET,20,36,242,3,0,1,-28,1,0,349,81,15,2.50965546964375,-6.69561848044395,0,13,8,3,0,28,149,0,0,0,7,4.72853227608721,0,4,3,1,0,20,36,242,3,0,0,349,81,15,4.31261871763212,0,13,8,3,0,0,44,2,20,3,12,0,1,9,6,1,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,48,4,1,0,0,1,0,1,0,3,110,2,2,0,0,35,1,0,1,1,0,0,0,0,0,0,0,0,0,35;28,,,63,0,0,3,3,0,0,1,0,0,0,0,0,5,0,55,213,2,0,1,0,3,1,16,0,197
2020,1,CIN,REG,2020_01_LAC_CIN,LAC,23,36,193,0,1,3,-20,0,0,291,83,14,-6.34561267249686,-0.267357996531895,0,10,1,0,0,28,122,1,2,1,5,-8.47962174518034,0,2,2,1,0,23,35,193,0,0,0,291,83,14,-1.48640258062099,0,10,1,0,0,0,39,3,35,3,3,0,2,1,4,0,0,5,0,0,0,0,0,0,0,0,0,0,-5,0,0,0,7,44,5,1,1,1,2,1,2,29,1,44,2,3,1,0,50,0.666666666666667,0,0,0,1,1,0,0,0,1,0,0,0,50;43,31,,93,31,0,1,1,0,0,1,0,0,0,0,0,6,0,70,330,3,0,0,3,1,2,7,0,263
2020,1,CLE,REG,2020_01_CLE_BAL,BAL,21,39,189,1,1,2,-21,0,0,358,34,10,-10.646842806337,-4.23168859311513,0,7,5,3,0,27,138,0,3,2,6,-5.78249876509653,0,5,2,2,0,21,35,189,1,0,0,358,34,10,-2.78698434049039,0,7,5,3,0,0,44,1,15,6,21,1,2,14,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,80,1,3,0,0,3,2,1,1,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,41,,0,41,0,0,1,1,0,0,0,0,0,0,0,3,0,59,137,1,0,1,0,0,2,26,0,111
2020,1,DAL,REG,2020_01_DAL_LA,LA,25,39,266,1,0,3,-22,0,0,283,114,14,-5.03047579732446,-4.59537256408382,0,13,4,2,0,27,136,1,0,0,9,3.66173548798542,0,5,4,0,0,25,37,266,1,0,0,283,114,14,1.75455660516673,0,13,4,2,0,0,42,7,27,1,6,0,1,6,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,50,4,0,0,0,0,0,1,20,2,48,1,2,1,0,33,0.5,0,0,1,0,0,0,0,0,0,0,1,0,33,53,,33,53,0,2,2,0,0,1,0,0,0,0,0,4,0,54,156,2,0,0,0,4,0,0,0,156
2020,1,DEN,REG,2020_01_TEN_DEN,TEN,22,33,216,1,0,0,0,0,0,303,133,12,-2.1552592641965,3.15756360068917,0,10,6,3,0,26,107,1,2,0,6,1.86469378057518,0,3,2,1,0,22,32,216,1,2,1,303,133,12,-6.69922476602369,0,10,6,3,0,0,55,0,20,2,3,0,1,2,7,0,0,5,0,0,0,0,0,1,0,0,0,2,-1,0,0,0,5,56,3,2,2,1,4,1,2,16,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,2,2,0,0,1,0,0,0,0,0,5,0,56,244,3,1,0,0,1,3,19,0,225
2020,1,DET,REG,2020_01_CHI_DET,CHI,24,42,297,1,1,1,-9,0,0,372,129,14,2.01769837262699,-8.61651853817265,0,12,8,5,0,29,138,1,0,0,7,-3.01983212065534,0,6,5,1,0,24,41,297,1,0,0,372,129,14,4.17147680188653,0,12,8,5,0,0,43,2,12,1,1,1,1,28,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,77,5,0,0,0,0,0,1,16,2,66,3,4,1,0,44,0.75,0,1,1,1,0,0,0,0,0,0,1,0,27;32;44,55,,103,55,0,2,2,0,0,1,0,0,0,0,0,4,0,55,197,2,1,1,0,1,1,0,0,197
2020,1,GB,REG,2020_01_GB_MIN,MIN,32,44,364,4,0,0,0,0,0,391,155,17,17.9679529484224,13.0681962501712,0,12,6,5,2,32,158,1,1,0,11,5.54213486099616,0,4,4,1,0,32,41,364,4,0,0,391,155,17,20.9557170051402,0,12,6,5,2,0,31,0,18,4,14,0,2,11,4,1,-4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,63,5,1,0,1,1,0,1,0,1,18,2,2,0,0,43,1,0,0,1,1,0,0,0,0,0,0,0,0,31;43,,,74,0,0,5,5,0,0,1,0,0,0,0,0,1,0,40,40,1,1,0,0,0,0,0,0,40
2020,1,HOU,REG,2020_01_HOU_KC,KC,20,32,253,1,1,4,-11,0,0,283,132,13,3.51792290072962,-1.22575029250114,0,12,6,3,0,22,118,2,0,0,8,5.31906943133799,0,3,3,0,0,20,31,253,1,0,0,283,132,13,8.46313194254953,0,12,6,3,0,0,50,1,15,4,12,0,1,8,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,4,0,0,0,0,0,1,19,3,66,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,51,,0,51,0,2,2,0,0,1,0,0,0,0,0,3,0,42,123,2,1,0,0,2,0,0,0,123
2020,1,IND,REG,2020_01_IND_JAX,JAX,36,46,363,1,2,1,-6,0,0,289,212,17,7.92827250124791,10.472451409568,0,14,8,4,0,22,88,1,0,0,5,-6.14965567269246,0,2,2,0,0,36,46,363,1,0,0,289,212,17,9.91244939118296,0,14,8,4,0,0,37,0,16,5,25,0,4,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,4,0,0,0,0,0,0,0,3,90,2,3,1,0,38,0.666666666666667,0,1,1,0,0,0,0,0,1,0,0,0,38;25,30,,63,30,0,2,2,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
