season,week,team,season_type,game_id,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,passing_10,passing_16,passing_20,passing_40,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,rushing_10,rushing_12,rushing_20,rushing_40,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,receiving_10,receiving_16,receiving_20,receiving_40,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,def_punt_blocks,def_pat_blocks,def_fg_blocks,def_2pt_atts,def_2pt_made,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,fumbles_forced_by_opp,fumbles_not_forced,fumbles_out_of_bounds,fumbles_total,fumbles_lost_total,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,pt_att,pt_blocked,pt_long,pt_yards,pt_inside_20,pt_out_of_bounds,pt_downed,pt_touchback,pt_fair_caught,pt_returned,pt_return_yards,pt_return_tds,pt_net_yards
2015,1,ARI,REG,2015_01_NO_ARI,NO,19,32,307,3,0,0,0,0,0,358,149,13,16.2506380005682,-2.3953540250659,0,12,6,4,2,25,120,1,1,1,7,-8.70970157042029,0,6,5,0,0,19,32,307,3,0,0,358,149,13,16.2506380005682,0,12,6,4,2,0,44,7,11,4,9,0,2,1,4,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,4,1,0,0,1,1,2,15,1,43,1,1,0,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,43,,,43,0,0,4,4,0,0,1,0,0,0,0,0,4,0,47,158,2,1,1,0,1,1,2,0,156
2015,1,ATL,REG,2015_01_PHI_ATL,PHI,23,34,298,2,2,1,-8,0,0,295,99,16,1.31433544289497,2.04697058481329,0,12,7,5,1,35,105,0,0,0,3,-8.79097127195214,0,2,1,1,0,23,34,298,2,0,0,295,99,16,3.35750528033999,0,12,7,5,1,0,40,1,21,1,2,1,0,0,8,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,57,1,0,0,0,0,0,2,18,3,59,4,4,0,0,47,1,0,0,1,3,0,0,0,0,0,0,0,0,41;39;44;47,,,171,0,0,2,2,0,0,1,0,0,0,0,0,4,0,62,231,3,1,0,0,0,3,25,0,206
2015,1,BAL,REG,2015_01_BAL_DEN,DEN,18,32,117,0,2,2,-17,0,0,192,68,4,-17.5780552389168,-8.12749080359936,0,4,1,1,0,23,73,0,0,0,6,-4.36285333130873,0,1,1,1,0,18,32,117,0,0,0,192,68,4,-13.7650430857737,0,4,1,1,0,0,49,0,10,8,35,0,4,25,5,1,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,0,0,0,0,0,2,32,1,10,2,2,0,0,52,1,0,0,0,1,1,0,0,0,0,0,0,0,52;44,,,96,0,0,1,1,0,0,1,0,0,0,0,0,6,0,59,310,2,2,0,0,1,3,20,0,290
2015,1,BUF,REG,2015_01_IND_BUF,IND,14,19,195,1,0,0,0,0,0,153,92,7,9.97263757537475,5.1948639907335,0,8,4,4,1,36,147,2,1,0,7,-2.53901211892627,0,4,4,2,0,14,19,195,1,1,0,153,92,7,9.97263757537475,0,8,4,4,1,0,29,13,21,0,0,0,2,3,6,2,53,12,0,0,0,0,0,0,0,0,0,2,0,1,0,0,11,113,4,1,1,0,2,0,1,6,1,0,2,2,0,0,45,1,0,0,0,2,0,0,0,0,0,0,0,0,41;45,,,86,0,0,3,3,0,0,1,0,0,0,0,0,5,0,63,252,2,0,0,1,2,2,1,0,231
2015,1,CAR,REG,2015_01_CAR_JAX,JAX,18,31,175,1,1,2,-17,0,0,255,79,10,-0.279408196602506,-6.24138453314381,0,5,3,2,0,35,105,0,0,0,6,-5.1292453703332,0,3,2,1,0,18,31,175,1,0,0,255,79,10,3.02194974055931,0,5,3,2,0,0,48,0,2,8,18,1,5,14,7,2,31,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,22,5,0,0,0,0,0,3,46,0,0,2,4,1,1,47,0.5,0,0,0,2,0,0,0,0,0,0,1,0,43;47,53,43,90,53,43,2,2,0,0,1,0,0,0,0,0,4,0,56,179,2,0,0,1,2,1,9,0,150
2015,1,CHI,REG,2015_01_GB_CHI,GB,18,36,225,1,1,2,-12,0,0,280,124,12,0.229273152718985,-8.88122294630323,0,8,4,3,1,33,189,1,0,0,10,7.54791514117447,0,5,4,3,0,18,35,225,1,0,0,280,124,12,4.00494401860469,0,8,4,3,1,0,38,0,14,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,64,5,0,0,0,0,0,1,11,3,63,3,3,0,0,50,1,0,1,0,1,1,0,0,0,0,0,0,0,28;50;44,,,122,0,0,2,2,0,0,1,0,0,0,0,0,1,0,56,56,0,1,0,0,0,0,0,0,56
2015,1,CIN,REG,2015_01_CIN_OAK,LV,25,34,269,2,0,0,0,0,0,281,148,13,13.9053901807135,11.3226843230865,0,11,6,4,0,31,127,2,0,0,7,0.289955657703104,0,4,2,1,0,25,34,269,2,0,0,281,148,13,13.9053901807135,0,11,6,4,0,0,44,0,16,2,8,2,2,20,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,50,6,0,0,0,0,0,2,23,2,14,2,2,0,0,35,1,0,0,2,0,0,0,0,0,0,0,0,0,32;35,,,67,0,0,3,4,0,1,0.75,0,0,0,0,0,5,0,53,219,1,0,1,0,1,3,27,0,192
2015,1,CLE,REG,2015_01_CLE_NYJ,NYJ,18,32,231,1,1,3,-14,2,2,242,99,10,-4.04123549209908,-7.24792182445526,0,9,3,3,1,28,104,0,1,1,5,-8.63016456242108,0,2,2,0,0,18,32,231,1,0,0,242,99,10,6.79000328865368,0,9,3,3,1,0,29,0,44,3,27,0,0,0,2,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,109,1,4,0,0,4,4,1,10,1,27,1,1,0,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,26,,,26,0,0,1,1,0,0,1,0,0,0,0,0,2,0,61,121,0,0,0,0,0,2,13,0,108
2015,1,DAL,REG,2015_01_NYG_DAL,NYG,36,45,356,3,2,0,0,0,0,184,218,21,9.17503307961302,8.76824292871687,0,15,8,3,0,23,80,0,1,0,4,-2.42818085144972,0,1,1,0,0,36,45,356,3,1,1,184,218,21,-0.362863542708544,0,15,8,3,0,0,35,3,17,4,11,0,1,3,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,35,4,2,1,0,3,1,1,-3,5,96,2,2,0,0,32,1,0,1,1,0,0,0,0,0,0,0,0,0,21;32,,,53,0,0,3,3,0,0,1,0,0,0,0,0,2,0,54,107,1,0,0,0,0,2,3,0,104
2015,1,DEN,REG,2015_01_BAL_DEN,BAL,24,40,175,0,1,4,-25,0,0,288,71,11,-12.0476240715165,-7.39720948040485,0,7,1,0,0,25,69,0,0,0,4,-4.82914857036667,0,1,0,0,0,24,40,175,0,0,0,288,71,11,-6.17188427624428,0,7,1,0,0,0,39,0,12,7,23,0,2,17,7,2,51,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,5,0,0,0,0,0,3,20,0,0,4,4,0,0,57,1,0,0,1,1,2,0,0,0,0,0,0,0,57;56;43;33,,,189,0,0,1,1,0,0,1,0,0,0,0,0,5,0,62,259,2,1,1,0,1,2,32,0,227
2015,1,DET,REG,2015_01_DET_SD,LAC,19,30,246,2,2,1,-13,0,0,203,181,12,-1.25578678783495,2.59214671594756,0,12,7,4,0,16,69,1,1,0,2,1.36223972393782,0,2,1,1,0,19,28,246,2,0,0,203,181,12,6.98106030782219,0,12,7,4,0,0,50,14,14,4,14,1,2,16,6,2,31,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,29,3,1,0,0,1,0,2,34,3,105,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0,5,0,42,176,3,2,1,0,2,0,0,0,176
2015,1,GB,REG,2015_01_GB_CHI,CHI,18,23,189,3,0,0,0,0,0,150,85,10,13.3896735745191,19.9408394369212,0,7,4,4,0,30,133,1,0,0,10,4.8055900336185,0,5,4,0,0,18,23,189,3,0,0,150,85,10,13.3896735745191,0,7,4,4,0,0,49,0,10,2,11,0,2,12,5,1,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,74,3,0,0,0,0,0,0,0,4,106,1,1,0,0,37,1,0,0,1,0,0,0,0,0,0,0,0,0,37,,,37,0,0,4,4,0,0,1,0,0,0,0,0,2,0,54,97,0,0,0,1,0,1,11,0,66
2015,1,HOU,REG,2015_01_KC_HOU,KC,26,47,334,2,1,5,-36,1,1,485,94,17,-6.46961126988682,-7.98892450073491,1,16,9,2,0,21,98,0,0,0,6,-4.14440113637829,0,3,2,1,0,26,46,334,2,0,0,485,94,17,6.04225537169331,1,16,9,2,0,0,47,6,12,7,19,1,2,10,3,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,39,6,1,1,0,2,1,4,14,0,0,2,2,0,0,47,1,0,0,1,1,0,0,0,0,0,0,0,0,34;47,,,81,0,0,0,1,1,0,0,0,0,0,0,0,7,0,57,329,1,0,1,1,0,5,81,0,228
